"VarName","TimeString","VarValue","Validity","Time_ms"
"Solenoid","10/25/2018 20:17:12",0,1,43398845275.3009
"PV_Out_PID","10/25/2018 20:17:12",38.57784,1,43398845275.3009
"SP_Out_PID","10/25/2018 20:17:12",-7.230892E-07,1,43398845275.3009
"In_Analog","10/25/2018 20:17:13",0,1,43398845286.875
"In_Analog_MOVE","10/25/2018 20:17:13",0,1,43398845286.875
"In_Analog_VOLTAGE","10/25/2018 20:17:13",3.032856,1,43398845286.875
"In_PV_Percentual","10/25/2018 20:17:13",38.57784,1,43398845286.875
"Out_LMN_PER_PID","10/25/2018 20:17:13",0,1,43398845286.875
"Out_LMN_PID","10/25/2018 20:17:13",4.295302E-23,1,43398845286.875
"Out_Proportional","10/25/2018 20:17:13",0,1,43398845286.875
"Pump","10/25/2018 20:17:13",0,1,43398845286.875
"Solenoid","10/25/2018 20:17:13",0,1,43398845286.875
"PV_Out_PID","10/25/2018 20:17:13",38.57784,1,43398845286.875
"SP_Out_PID","10/25/2018 20:17:13",-7.230892E-07,1,43398845286.875
"In_Analog","10/25/2018 20:17:14",0,1,43398845298.4491
"In_Analog_MOVE","10/25/2018 20:17:14",0,1,43398845298.4491
"In_Analog_VOLTAGE","10/25/2018 20:17:14",3.032856,1,43398845298.4491
"In_PV_Percentual","10/25/2018 20:17:14",38.57784,1,43398845298.4491
"Out_LMN_PER_PID","10/25/2018 20:17:14",0,1,43398845298.4491
"Out_LMN_PID","10/25/2018 20:17:14",4.295302E-23,1,43398845298.4491
"Out_Proportional","10/25/2018 20:17:14",0,1,43398845298.4491
"Pump","10/25/2018 20:17:14",0,1,43398845298.4491
"Solenoid","10/25/2018 20:17:14",0,1,43398845298.4491
"PV_Out_PID","10/25/2018 20:17:14",38.57784,1,43398845298.4491
"SP_Out_PID","10/25/2018 20:17:14",-7.230892E-07,1,43398845298.4491
"In_Analog","10/25/2018 20:17:15",0,1,43398845310.0231
"In_Analog_MOVE","10/25/2018 20:17:15",0,1,43398845310.0231
"In_Analog_VOLTAGE","10/25/2018 20:17:15",3.032856,1,43398845310.0231
"In_PV_Percentual","10/25/2018 20:17:15",38.57784,1,43398845310.0231
"Out_LMN_PER_PID","10/25/2018 20:17:15",0,1,43398845310.0231
"Out_LMN_PID","10/25/2018 20:17:15",4.295302E-23,1,43398845310.0231
"Out_Proportional","10/25/2018 20:17:15",0,1,43398845310.0231
"Pump","10/25/2018 20:17:15",0,1,43398845310.0231
"Solenoid","10/25/2018 20:17:15",0,1,43398845310.0231
"PV_Out_PID","10/25/2018 20:17:15",38.57784,1,43398845310.0231
"SP_Out_PID","10/25/2018 20:17:15",-7.230892E-07,1,43398845310.0231
"In_Analog","10/25/2018 20:17:16",0,1,43398845321.5972
"In_Analog_MOVE","10/25/2018 20:17:16",0,1,43398845321.5972
"In_Analog_VOLTAGE","10/25/2018 20:17:16",3.032856,1,43398845321.5972
"In_PV_Percentual","10/25/2018 20:17:16",38.57784,1,43398845321.5972
"Out_LMN_PER_PID","10/25/2018 20:17:16",0,1,43398845321.5972
"Out_LMN_PID","10/25/2018 20:17:16",4.295302E-23,1,43398845321.5972
"Out_Proportional","10/25/2018 20:17:16",0,1,43398845321.5972
"Pump","10/25/2018 20:17:16",0,1,43398845321.5972
"Solenoid","10/25/2018 20:17:16",0,1,43398845321.5972
"PV_Out_PID","10/25/2018 20:17:16",38.57784,1,43398845321.5972
"SP_Out_PID","10/25/2018 20:17:16",-7.230892E-07,1,43398845321.5972
"In_Analog","10/25/2018 20:17:17",0,1,43398845333.1713
"In_Analog_MOVE","10/25/2018 20:17:17",0,1,43398845333.1713
"In_Analog_VOLTAGE","10/25/2018 20:17:17",3.032856,1,43398845333.1713
"In_PV_Percentual","10/25/2018 20:17:17",38.57784,1,43398845333.1713
"Out_LMN_PER_PID","10/25/2018 20:17:17",0,1,43398845333.1713
"Out_LMN_PID","10/25/2018 20:17:17",4.295302E-23,1,43398845333.1713
"Out_Proportional","10/25/2018 20:17:17",0,1,43398845333.1713
"Pump","10/25/2018 20:17:17",0,1,43398845333.1713
"Solenoid","10/25/2018 20:17:17",0,1,43398845333.1713
"PV_Out_PID","10/25/2018 20:17:17",38.57784,1,43398845333.1713
"SP_Out_PID","10/25/2018 20:17:17",-7.230892E-07,1,43398845333.1713
"In_Analog","10/25/2018 20:17:18",0,1,43398845344.7454
"In_Analog_MOVE","10/25/2018 20:17:18",0,1,43398845344.7454
"In_Analog_VOLTAGE","10/25/2018 20:17:18",3.032856,1,43398845344.7454
"In_PV_Percentual","10/25/2018 20:17:18",38.57784,1,43398845344.7454
